"","Estimated antiretroviral therapy coverage among people living with HIV (%)","Reported number of people receiving antiretroviral therapy","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Country"," 2018"," 2018"," 2018"," 2010"," 2005"," 2000"
"Afghanistan","13 [7–20]","920","7200 [4100–11 000]","4200 [2500–6200]","2900 [1700–5000]","1600 [1000–3500]"
"Albania","No data","580","No data","No data","No data","No data"
"Algeria","81 [75–86]","12 800","16 000 [15 000–17 000]","7100 [6600–7600]","3700 [3500–4000]","1900 [1700–2000]"
"Angola","27 [23–31]","88 700","330 000 [290 000–390 000]","220 000 [180 000–250 000]","150 000 [120 000–170 000]","87 000 [72 000–110 000]"
"Argentina","61 [55–67]","85 500","140 000 [130 000–150 000]","110 000 [96 000–120 000]","85 000 [76 000–94 000]","64 000 [55 000–71 000]"
"Armenia","53 [44–65]","1900","3500 [3000–4400]","3300 [2800–4100]","2700 [2000–3500]","950 [580–1600]"
"Australia","83 [70–93]","22 800","28 000 [23 000–31 000]","21 000 [17 000–23 000]","16 000 [14 000–19 000]","13 000 [11 000–15 000]"
"Austria","No data","No data","No data","No data","No data","No data"
"Azerbaijan","No data","4400","No data","No data","No data","No data"
"Bahamas","52 [45–58]","3100","6000 [5300–6700]","5800 [5100–6600]","5100 [4400–6000]","5100 [4400–5900]"
"Bahrain","No data","No data","No data","No data","No data","No data"
"Bangladesh","22 [19–25]","3000","14 000 [12 000–16 000]","7700 [6600–8800]","4000 [3500–4600]","940 [800–1100]"
"Barbados","50 [44–57]","1500","3000 [2700–3400]","2300 [2100–2600]","1700 [1500–1900]","1100 [1000–1300]"
"Belarus","59 [48–75]","15 500","27 000 [22 000–34 000]","12 000 [10 000–15 000]","5400 [4500–6700]","1400 [1100–1900]"
"Belgium","No data","No data","No data","No data","No data","No data"
"Belize","28 [26–31]","1400","4900 [4400–5400]","3700 [3400–4100]","2800 [2600–3100]","1700 [1600–1800]"
"Benin","61 [40–&gt;95]","44 200","73 000 [48 000–120 000]","61 000 [41 000–98 000]","56 000 [37 000–90 000]","47 000 [31 000–75 000]"
"Bhutan","37 [20–78]","480","1300 [700–2700]","1300 [590–2700]","1100 [&lt;500–2000]","530 [&lt;200–970]"
"Bolivia (Plurinational State of)","44 [40–48]","9900","22 000 [20 000–24 000]","23 000 [20 000–25 000]","26 000 [24 000–28 000]","21 000 [20 000–23 000]"
"Bosnia and Herzegovina","67 [57–78]","220","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Botswana","83 [75–90]","307 000","370 000 [330 000–400 000]","340 000 [300 000–360 000]","310 000 [280 000–330 000]","280 000 [270 000–300 000]"
"Brazil","66 [51–82]","593 000","900 000 [690 000–1 100 000]","670 000 [520 000–830 000]","550 000 [420 000–680 000]","410 000 [320 000–510 000]"
"Brunei Darussalam","No data","150","No data","No data","No data","No data"
"Bulgaria","41 [35–48]","1500","3500 [3000–4100]","1700 [1600–1900]","980 [910–1100]","&lt;500 [&lt;500–&lt;500]"
"Burkina Faso","62 [50–75]","59 300","96 000 [78 000–120 000]","110 000 [88 000–130 000]","120 000 [95 000–140 000]","140 000 [110 000–170 000]"
"Burundi","80 [69–94]","65 500","82 000 [71 000–97 000]","93 000 [79 000–110 000]","110 000 [88 000–120 000]","130 000 [110 000–150 000]"
"Cabo Verde","89 [75–&gt;95]","2200","2400 [2100–2900]","2100 [1700–2600]","1800 [1400–2700]","1600 [1200–2500]"
"Cambodia","81 [71–93]","59 500","73 000 [64 000–84 000]","79 000 [68 000–93 000]","82 000 [70 000–97 000]","81 000 [73 000–91 000]"
"Cameroon","52 [46–57]","281 000","540 000 [470 000–590 000]","520 000 [460 000–560 000]","470 000 [430 000–500 000]","370 000 [350 000–410 000]"
"Canada","No data","No data","No data","No data","No data","No data"
"Central African Republic","36 [30–45]","39 600","110 000 [90 000–140 000]","140 000 [110 000–160 000]","150 000 [130 000–170 000]","160 000 [130 000–190 000]"
"Chad","51 [40–63]","61 400","120 000 [94 000–150 000]","99 000 [80 000–120 000]","88 000 [69 000–110 000]","80 000 [60 000–100 000]"
"Chile","63 [56–70]","45 100","71 000 [63 000–78 000]","39 000 [34 000–43 000]","25 000 [22 000–27 000]","14 000 [13 000–16 000]"
"China","No data","718 000","No data","No data","No data","No data"
"Colombia","73 [60–86]","113 000","160 000 [130 000–180 000]","130 000 [100 000–150 000]","120 000 [98 000–140 000]","110 000 [91 000–130 000]"
"Comoros","79 [39–&gt;95]","100","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Congo","35 [27–46]","31 200","89 000 [69 000–120 000]","82 000 [69 000–95 000]","77 000 [63 000–90 000]","80 000 [64 000–96 000]"
"Costa Rica","49 [44–54]","7200","15 000 [13 000–17 000]","9300 [8400–10 000]","6500 [5800–7200]","4300 [3700–4700]"
"Côte d'Ivoire","55 [44–70]","252 000","460 000 [360 000–580 000]","480 000 [380 000–610 000]","510 000 [410 000–650 000]","590 000 [470 000–740 000]"
"Croatia","75 [67–83]","1200","1600 [1400–1700]","1000 [930–1100]","710 [630–800]","&lt;500 [&lt;500–&lt;500]"
"Cuba","72 [55–85]","21 900","31 000 [24 000–37 000]","17 000 [13 000–21 000]","9000 [6700–11 000]","4100 [2900–5000]"
"Cyprus","No data","No data","No data","No data","No data","No data"
"Czechia","60 [51–68]","2600","4400 [3700–5000]","1800 [1500–2000]","970 [820–1100]","510 [&lt;500–580]"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","57 [47–67]","256 000","450 000 [370 000–530 000]","480 000 [400 000–560 000]","510 000 [430 000–590 000]","540 000 [470 000–610 000]"
"Denmark","89 [79–&gt;95]","5500","6200 [5600–7000]","5500 [5000–6200]","4900 [4500–5500]","4000 [3600–4600]"
"Djibouti","30 [25–38]","2700","8800 [7100–11 000]","9400 [7700–11 000]","11 000 [9000–13 000]","9400 [7200–12 000]"
"Dominican Republic","56 [43–73]","39 000","70 000 [54 000–92 000]","72 000 [54 000–91 000]","79 000 [61 000–100 000]","85 000 [62 000–120 000]"
"Ecuador","57 [38–93]","25 100","44 000 [29 000–71 000]","34 000 [22 000–57 000]","29 000 [19 000–49 000]","26 000 [15 000–46 000]"
"Egypt","31 [28–33]","6700","22 000 [20 000–24 000]","6800 [6100–7400]","3200 [2800–3500]","1500 [1400–1600]"
"El Salvador","47 [39–55]","11 900","25 000 [21 000–30 000]","26 000 [20 000–31 000]","23 000 [17 000–28 000]","18 000 [14 000–23 000]"
"Equatorial Guinea","34 [27–44]","21 400","62 000 [50 000–81 000]","35 000 [29 000–41 000]","22 000 [17 000–28 000]","13 000 [9200–18 000]"
"Eritrea","51 [38–68]","8900","18 000 [13 000–24 000]","17 000 [13 000–22 000]","17 000 [13 000–22 000]","16 000 [12 000–20 000]"
"Estonia","59 [53–66]","4300","7400 [6600–8200]","6000 [5100–6700]","5400 [4600–6000]","3400 [2900–3900]"
"Eswatini","86 [80–94]","177 000","210 000 [190 000–220 000]","160 000 [150 000–170 000]","130 000 [120 000–140 000]","110 000 [98 000–120 000]"
"Ethiopia","65 [50–85]","450 000","690 000 [530 000–900 000]","630 000 [480 000–830 000]","640 000 [490 000–840 000]","750 000 [570 000–980 000]"
"Fiji","No data","No data","No data","No data","No data","No data"
"Finland","76 [60–95]","3000","4000 [3100–4900]","2700 [2200–3500]","1900 [1500–2400]","1100 [850–1400]"
"France","83 [69–&gt;95]","148 000","180 000 [150 000–210 000]","140 000 [120 000–160 000]","110 000 [95 000–130 000]","82 000 [69 000–97 000]"
"Gabon","67 [54–85]","35 600","53 000 [43 000–67 000]","43 000 [36 000–51 000]","35 000 [27 000–43 000]","28 000 [20 000–38 000]"
"Gambia","29 [24–38]","7500","26 000 [21 000–33 000]","18 000 [15 000–23 000]","15 000 [11 000–19 000]","9900 [7200–13 000]"
"Georgia","49 [42–57]","4600","9400 [8100–11 000]","5600 [4500–6700]","2800 [2300–3400]","980 [720–1300]"
"Germany","80 [65–93]","69 900","87 000 [71 000–100 000]","69 000 [57 000–81 000]","56 000 [46 000–65 000]","45 000 [37 000–54 000]"
"Ghana","34 [28–39]","113 000","330 000 [280 000–390 000]","300 000 [250 000–340 000]","280 000 [240 000–320 000]","270 000 [240 000–300 000]"
"Greece","No data","No data","No data","No data","No data","No data"
"Guatemala","43 [40–47]","20 200","47 000 [43 000–51 000]","49 000 [44 000–53 000]","48 000 [44 000–51 000]","44 000 [41 000–47 000]"
"Guinea","40 [34–48]","48 600","120 000 [100 000–140 000]","100 000 [90 000–120 000]","93 000 [81 000–110 000]","83 000 [67 000–100 000]"
"Guinea-Bissau","33 [29–37]","14 600","44 000 [39 000–49 000]","38 000 [34 000–42 000]","31 000 [28 000–35 000]","22 000 [20 000–25 000]"
"Guyana","68 [60–78]","5600","8200 [7200–9400]","6700 [6000–7400]","5000 [4400–5700]","2300 [1600–3100]"
"Haiti","58 [52–65]","91 500","160 000 [140 000–180 000]","140 000 [130 000–160 000]","140 000 [120 000–160 000]","150 000 [130 000–180 000]"
"Honduras","50 [40–61]","11 700","23 000 [18 000–28 000]","26 000 [21 000–32 000]","31 000 [24 000–38 000]","40 000 [34 000–49 000]"
"Hungary","56 [48–63]","2000","3700 [3200–4200]","2000 [1800–2300]","1200 [1000–1300]","830 [700–950]"
"Iceland","79 [71–87]","250","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"India","No data","No data","No data","No data","No data","No data"
"Indonesia","17 [15–20]","108 000","640 000 [550 000–750 000]","510 000 [450 000–590 000]","290 000 [260 000–330 000]","80 000 [72 000–89 000]"
"Iran (Islamic Republic of)","20 [11–39]","12 400","61 000 [34 000–120 000]","50 000 [37 000–70 000]","37 000 [25 000–56 000]","16 000 [7900–35 000]"
"Ireland","80 [69–89]","5700","7200 [6200–8000]","4800 [4200–5400]","3200 [2800–3600]","1900 [1700–2200]"
"Israel","No data","No data","9000 [8000–10 000]","6000 [5400–6800]","4100 [3700–4600]","2700 [2400–3100]"
"Italy","91 [78–&gt;95]","118 000","130 000 [110 000–140 000]","110 000 [92 000–120 000]","89 000 [76 000–100 000]","68 000 [57 000–78 000]"
"Jamaica","31 [27–36]","12 600","40 000 [35 000–46 000]","37 000 [32 000–42 000]","38 000 [33 000–42 000]","41 000 [37 000–46 000]"
"Japan","80 [68–92]","23 700","30 000 [25 000–34 000]","19 000 [16 000–22 000]","12 000 [9700–14 000]","6200 [5100–7200]"
"Jordan","84 [76–95]","310","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;100 [&lt;100–&lt;200]"
"Kazakhstan","58 [54–62]","15 000","26 000 [24 000–27 000]","11 000 [10 000–11 000]","4000 [3800–4300]","1100 [1100–1200]"
"Kenya","68 [58–82]","1 068 000","1 600 000 [1 300 000–1 900 000]","1 500 000 [1 200 000–1 800 000]","1 500 000 [1 300 000–1 900 000]","1 700 000 [1 400 000–2 000 000]"
"Kuwait","62 [55–67]","400","640 [580–700]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;200]"
"Kyrgyzstan","43 [33–59]","3700","8500 [6500–12 000]","4100 [3200–5500]","1500 [1300–1900]","710 [580–840]"
"Lao People's Democratic Republic","54 [48–62]","6500","12 000 [11 000–14 000]","9900 [8800–11 000]","6700 [6000–7500]","2200 [2000–2400]"
"Latvia","45 [41–50]","2400","5300 [4800–5900]","4000 [3500–4500]","3200 [2900–3600]","2300 [2200–2500]"
"Lebanon","60 [53–67]","1500","2500 [2200–2800]","1600 [1400–1800]","1300 [1100–1400]","910 [790–1000]"
"Lesotho","61 [57–65]","206 000","340 000 [320 000–360 000]","300 000 [280 000–320 000]","280 000 [260 000–300 000]","260 000 [240 000–290 000]"
"Liberia","35 [32–39]","13 900","39 000 [36 000–44 000]","41 000 [37 000–46 000]","41 000 [38 000–45 000]","43 000 [41 000–45 000]"
"Libya","44 [40–49]","4100","9200 [8300–10 000]","6100 [5600–6500]","2900 [2700–3100]","950 [870–1000]"
"Lithuania","No data","No data","No data","No data","No data","No data"
"Luxembourg","77 [67–86]","890","1200 [1000–1300]","700 [620–780]","&lt;500 [&lt;500–540]","&lt;500 [&lt;500–&lt;500]"
"Madagascar","9 [7–13]","3500","39 000 [30 000–55 000]","21 000 [18 000–24 000]","19 000 [15 000–23 000]","13 000 [7900–20 000]"
"Malawi","78 [70–84]","814 000","1 000 000 [940 000–1 100 000]","870 000 [770 000–960 000]","820 000 [720 000–900 000]","810 000 [740 000–860 000]"
"Malaysia","48 [42–53]","41 500","87 000 [77 000–98 000]","74 000 [65 000–86 000]","66 000 [57 000–77 000]","55 000 [48 000–65 000]"
"Maldives","No data","No data","No data","No data","No data","No data"
"Mali","31 [25–39]","47 100","150 000 [120 000–190 000]","120 000 [94 000–140 000]","110 000 [91 000–130 000]","110 000 [91 000–130 000]"
"Malta","No data","No data","No data","No data","No data","No data"
"Mauritania","54 [44–69]","3000","5600 [4500–7200]","7100 [5900–8400]","7500 [6400–8800]","5500 [4500–6500]"
"Mauritius","22 [18–26]","2800","13 000 [10 000–15 000]","11 000 [9500–12 000]","8000 [6100–11 000]","3200 [1500–6000]"
"Mexico","70 [60–80]","165 000","230 000 [200 000–270 000]","180 000 [150 000–210 000]","150 000 [120 000–200 000]","130 000 [94 000–190 000]"
"Mongolia","32 [29–36]","200","600 [530–670]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;200–&lt;500]","&lt;100 [&lt;100–&lt;100]"
"Montenegro","40 [34–46]","160","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;100 [&lt;100–&lt;100]","&lt;100 [&lt;100–&lt;100]"
"Morocco","65 [52–86]","13 600","21 000 [17 000–28 000]","17 000 [13 000–22 000]","13 000 [11 000–18 000]","9700 [7800–13 000]"
"Mozambique","56 [44–68]","1 213 000","2 200 000 [1 700 000–2 700 000]","1 600 000 [1 300 000–1 900 000]","1 200 000 [980 000–1 500 000]","840 000 [670 000–1 000 000]"
"Myanmar","70 [63–79]","167 000","240 000 [210 000–270 000]","220 000 [190 000–260 000]","210 000 [180 000–240 000]","150 000 [130 000–170 000]"
"Namibia","92 [84–&gt;95]","184 000","200 000 [190 000–220 000]","170 000 [160 000–180 000]","160 000 [140 000–170 000]","140 000 [130 000–160 000]"
"Nepal","56 [50–65]","16 900","30 000 [26 000–34 000]","31 000 [27 000–36 000]","29 000 [25 000–33 000]","16 000 [14 000–17 000]"
"Netherlands","No data","No data","No data","20 000 [19 000–21 000]","16 000 [15 000–17 000]","11 000 [11 000–12 000]"
"New Zealand","73 [62–84]","2700","3600 [3100–4200]","2500 [2100–2800]","1800 [1600–2100]","1300 [1100–1500]"
"Nicaragua","53 [43–68]","5000","9400 [7600–12 000]","7900 [6500–10 000]","6100 [4600–8300]","3600 [2100–5300]"
"Niger","54 [45–65]","19 800","36 000 [30 000–43 000]","37 000 [32 000–42 000]","40 000 [34 000–46 000]","37 000 [31 000–44 000]"
"Nigeria","53 [40–71]","1 016 000","1 900 000 [1 400 000–2 600 000]","1 500 000 [1 100 000–2 100 000]","1 400 000 [1 000 000–1 900 000]","1 300 000 [940 000–1 700 000]"
"Norway","82 [74–90]","4700","5800 [5200–6300]","4200 [3800–4600]","3000 [2700–3300]","1900 [1700–2100]"
"Oman","41 [37–45]","1300","3200 [2900–3600]","2200 [2000–2500]","1700 [1600–1900]","1300 [1100–1400]"
"Pakistan","10 [9–11]","15 800","160 000 [140 000–190 000]","67 000 [57 000–76 000]","12 000 [10 000–14 000]","&lt;500 [&lt;500–520]"
"Panama","54 [48–59]","14 200","26 000 [24 000–29 000]","20 000 [18 000–22 000]","16 000 [14 000–17 000]","11 000 [10 000–12 000]"
"Papua New Guinea","65 [58–71]","29 400","45 000 [41 000–50 000]","38 000 [34 000–42 000]","38 000 [34 000–42 000]","20 000 [17 000–25 000]"
"Paraguay","40 [31–58]","8500","21 000 [16 000–31 000]","20 000 [14 000–27 000]","19 000 [14 000–25 000]","14 000 [7100–21 000]"
"Peru","73 [54–&gt;95]","57 800","79 000 [58 000–110 000]","65 000 [49 000–91 000]","65 000 [50 000–91 000]","71 000 [56 000–94 000]"
"Philippines","44 [37–51]","33 600","77 000 [65 000–90 000]","15 000 [13 000–18 000]","3700 [3100–4300]","1000 [910–1200]"
"Poland","No data","No data","No data","No data","No data","No data"
"Portugal","90 [78–&gt;95]","37 200","41 000 [36 000–46 000]","40 000 [35 000–45 000]","37 000 [33 000–42 000]","32 000 [27 000–37 000]"
"Qatar","No data","150","No data","No data","No data","No data"
"Republic of Korea","No data","No data","No data","No data","No data","No data"
"Republic of Moldova","34 [27–45]","6000","17 000 [14 000–23 000]","16 000 [12 000–20 000]","12 000 [9600–16 000]","10 000 [8000–13 000]"
"Republic of North Macedonia","54 [47–63]","240","&lt;500 [&lt;500–520]","&lt;200 [&lt;200–&lt;200]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Romania","67 [60–73]","12 100","18 000 [16 000–20 000]","14 000 [12 000–15 000]","11 000 [9800–12 000]","7500 [6900–8100]"
"Russian Federation","No data","No data","No data","No data","No data","No data"
"Rwanda","87 [76–&gt;95]","194 000","220 000 [200 000–250 000]","220 000 [200 000–250 000]","220 000 [190 000–250 000]","240 000 [220 000–280 000]"
"Saudi Arabia","No data","6300","No data","No data","No data","No data"
"Senegal","63 [55–71]","26 600","42 000 [37 000–47 000]","44 000 [39 000–50 000]","42 000 [38 000–48 000]","33 000 [29 000–39 000]"
"Serbia","65 [47–83]","2000","3000 [2200–3800]","1800 [1300–2200]","1100 [750–1500]","1000 [660–1400]"
"Sierra Leone","41 [33–50]","28 400","70 000 [56 000–86 000]","58 000 [48 000–70 000]","51 000 [42 000–61 000]","40 000 [31 000–50 000]"
"Singapore","78 [71–86]","6200","7900 [7200–8700]","6500 [5700–7300]","4100 [3500–4700]","2900 [2600–3300]"
"Slovakia","54 [40–85]","650","1200 [910–1900]","&lt;500 [&lt;500–730]","&lt;500 [&lt;200–&lt;500]","&lt;200 [&lt;100–&lt;200]"
"Slovenia","No data","No data","No data","No data","No data","No data"
"Somalia","30 [23–41]","3300","11 000 [8400–15 000]","17 000 [15 000–20 000]","20 000 [18 000–23 000]","16 000 [14 000–20 000]"
"South Africa","62 [57–66]","4 788 000","7 700 000 [7 100 000–8 300 000]","6 100 000 [5 500 000–6 600 000]","5 000 000 [4 400 000–5 400 000]","3 300 000 [2 900 000–3 700 000]"
"South Sudan","16 [12–20]","30 700","190 000 [140 000–240 000]","140 000 [110 000–170 000]","120 000 [89 000–150 000]","90 000 [56 000–120 000]"
"Spain","84 [73–94]","125 000","150 000 [130 000–170 000]","140 000 [120 000–150 000]","120 000 [100 000–130 000]","92 000 [78 000–110 000]"
"Sri Lanka","45 [40–52]","1600","3500 [3100–4000]","4000 [3400–4700]","3600 [3100–4100]","2200 [1900–2400]"
"Sudan","15 [7–28]","9000","59 000 [26 000–110 000]","43 000 [36 000–51 000]","29 000 [20 000–40 000]","15 000 [7500–29 000]"
"Suriname","52 [35–75]","2900","5600 [3700–8100]","4600 [3300–6200]","4000 [3000–5600]","3100 [2300–4400]"
"Sweden","No data","No data","No data","No data","No data","No data"
"Switzerland","No data","14 800","No data","No data","No data","No data"
"Syrian Arab Republic","20 [18–22]","130","660 [590–720]","570 [510–630]","&lt;500 [&lt;500–&lt;500]","&lt;500 [&lt;500–&lt;500]"
"Tajikistan","46 [38–56]","6000","13 000 [11 000–16 000]","9200 [7500–11 000]","5200 [3700–6900]","1400 [780–2700]"
"Thailand","75 [66–86]","359 000","480 000 [420 000–550 000]","580 000 [490 000–690 000]","630 000 [510 000–780 000]","740 000 [610 000–890 000]"
"Timor-Leste","No data","No data","No data","No data","No data","No data"
"Togo","60 [56–65]","64 800","110 000 [100 000–120 000]","100 000 [96 000–110 000]","100 000 [94 000–110 000]","94 000 [87 000–100 000]"
"Trinidad and Tobago","No data","No data","No data","No data","No data","No data"
"Tunisia","39 [24–61]","1100","2800 [1700–4400]","1400 [980–2200]","640 [&lt;500–1100]","&lt;500 [&lt;200–710]"
"Turkey","No data","No data","No data","No data","No data","No data"
"Turkmenistan","No data","No data","No data","No data","No data","No data"
"Uganda","72 [68–78]","1 004 000","1 400 000 [1 300 000–1 500 000]","1 200 000 [1 100 000–1 300 000]","1 100 000 [1 000 000–1 100 000]","1 000 000 [930 000–1 100 000]"
"Ukraine","52 [48–56]","124 000","240 000 [220 000–260 000]","230 000 [220 000–250 000]","230 000 [220 000–240 000]","170 000 [150 000–180 000]"
"United Arab Emirates","No data","No data","No data","No data","No data","No data"
"United Kingdom of Great Britain and Northern Ireland","No data","No data","No data","No data","No data","No data"
"United Republic of Tanzania","71 [64–78]","1 109 000","1 600 000 [1 400 000–1 700 000]","1 300 000 [1 100 000–1 400 000]","1 200 000 [1 000 000–1 300 000]","1 100 000 [1 000 000–1 200 000]"
"United States of America","No data","No data","No data","990 000 [880 000–1 100 000]","No data","No data"
"Uruguay","58 [41–76]","8100","14 000 [9900–19 000]","9600 [8000–11 000]","7600 [6200–10 000]","6000 [4200–12 000]"
"Uzbekistan","51 [47–55]","26 700","52 000 [48 000–56 000]","30 000 [27 000–32 000]","21 000 [19 000–23 000]","14 000 [13 000–16 000]"
"Venezuela (Bolivarian Republic of)","No data","No data","120 000 [100 000–130 000]","No data","No data","No data"
"Viet Nam","65 [57–73]","150 000","230 000 [200 000–260 000]","220 000 [180 000–250 000]","180 000 [160 000–210 000]","120 000 [110 000–130 000]"
"Yemen","21 [12–35]","2200","11 000 [6500–18 000]","5100 [3500–7400]","2400 [1500–4000]","1100 [680–2500]"
"Zambia","78 [69–88]","965 000","1 200 000 [1 100 000–1 400 000]","1 000 000 [900 000–1 100 000]","920 000 [820 000–1 000 000]","890 000 [800 000–1 000 000]"
"Zimbabwe","88 [77–&gt;95]","1 151 000","1 300 000 [1 100 000–1 500 000]","1 200 000 [1 100 000–1 400 000]","1 400 000 [1 200 000–1 600 000]","1 600 000 [1 400 000–1 900 000]"
